District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged,Rank Number,Actual Number,Cluster
Kurnool,Andhra Pradesh,1,4053463,60517,92,59938,487,312116.651,2399.464012,201625.55,2
Jabalpur,Madhya Pradesh,16,2463289,15242,445,14560,237,177356.808,2393.646295,213506.514,0
Pali,Rajasthan,25,2037573,10529,310,10111,108,138554.964,2375.125311,131964.28,3
Kurukshetra,Haryana,9,964655,8479,211,8147,121,73313.78,2342.393232,106547.24,0
Tikamgarh,Madhya Pradesh,16,1445166,1236,47,1162,27,104051.952,2329.028188,175647.536,0
Mandsaur,Madhya Pradesh,16,1340411,2556,110,2413,33,96509.592,2318.820093,119179.989,0
Etawah,Uttar Pradesh,30,1581810,5667,137,5427,103,110726.7,2313.21644,166438.194,3
Bilaspur,Himachal Pradesh,10,2663629,2779,236,2519,23,266362.9,2300.20915,173295.416,0
Yadgir,Karnataka,13,1174271,10567,39,10467,61,92767.409,2298.708711,64053.7,0
Haridwar,Uttarakhand,31,1890422,13181,434,12488,145,166357.136,2298.418141,150546.384,3
Pudukkottai,Tamil Nadu,27,1618345,11361,64,11143,154,144032.705,2278.992521,157377.096,3
Jodhpur,Rajasthan,25,3687165,43239,1423,41534,282,250727.22,2275.592773,143864.05,3
Kupwara,Jammu and Kashmir,11,870354,5476,144,5242,90,60924.78,2272.979514,104051.952,0
Krishna,Andhra Pradesh,1,4517398,47420,674,46084,662,347839.646,2270.204173,307839.697,2
Jalna,Maharashtra,17,1959046,12635,175,12122,337,174355.094,2250.651528,294225.006,3
Hamirpur,Uttar Pradesh,30,1104285,1551,19,1511,21,77299.95,2238.304431,106829.726,3
Tiruvannamalai,Tamil Nadu,27,2464875,19072,109,18683,280,219373.875,2218.151951,248670.684,3
Cuttack,Odisha,22,2624470,28610,222,28246,142,217831.01,2212.089455,109803.68,3
Puducherry,Puducherry,23,950289,30332,188,29629,515,76023.12,2204.540146,121375.679,3
Jaipur,Rajasthan,25,6626178,56361,3881,51986,494,450580.104,2204.514718,266362.9,2
Etah,Uttar Pradesh,30,1774480,2486,83,2376,27,124213.6,2190.845671,126215.772,3
Bhandara,Maharashtra,17,1200334,12457,635,11559,261,106829.726,2186.801306,174787.9,0
Deoria,Uttar Pradesh,30,3100946,6680,106,6482,92,217066.22,2183.517193,224926.524,3
Krishnagiri,Tamil Nadu,27,1879809,7781,85,7580,116,167303.001,2144.881326,199772.175,3
Mainpuri,Uttar Pradesh,30,1868529,3719,109,3539,71,130797.03,2131.494647,200405.216,3
Indore,Madhya Pradesh,16,3276697,53011,3925,48235,851,235922.184,2106.751424,263804.795,2
Shahid Bhagat Singh Nagar,Punjab,24,612310,2337,66,2190,81,56332.52,2069.124604,160483.32,3
Raigarh,Chhattisgarh,6,2634200,20825,381,20168,276,197565,2047.100073,208652.56,0
Amritsar,Punjab,24,2490656,14321,539,13240,542,229140.352,2044.617126,396880.792,3
Wardha,Maharashtra,17,1300774,9247,483,8515,245,115768.886,2016.031094,234166.407,0
Jhajjar,Haryana,9,958405,5762,131,5545,86,72838.78,2012.502174,110726.7,0
Dindigul,Tamil Nadu,27,2159775,10808,135,10476,197,192219.975,2010.559041,255363.854,3
Kolar,Karnataka,13,1536401,9635,115,9345,175,121375.679,2008.940025,173755.271,0
Ariyalur,Tamil Nadu,27,754894,4625,10,4567,48,67185.566,1992.898084,81800.8,3
