District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged
Dakshin Dinajpur,West Bengal,32,1676276,8050,89,7889,72,119015.596
Kaithal,Haryana,9,1074304,3724,52,3624,48,81647.104
Vizianagaram,Andhra Pradesh,1,2344474,40998,66,40694,238,180524.498
Hamirpur,Uttar Pradesh,30,1104285,1551,19,1511,21,77299.95
Kurukshetra,Haryana,9,964655,8479,211,8147,121,73313.78
Kollam,Kerala,14,2635375,56436,3779,52433,211,279349.75
Rajnandgaon,Chhattisgarh,6,1537133,17795,1232,16402,161,115284.975
Karbi Anglong,Assam,3,956313,632,69,552,11,59291.406
Tinsukia,Assam,3,1327929,3366,1526,1798,42,82331.598
Shivpuri,Madhya Pradesh,16,1726050,3447,64,3355,28,124275.6
Nagaon,Assam,3,2823768,4515,1983,2506,26,175073.616
Kupwara,Jammu and Kashmir,11,870354,5476,144,5242,90,60924.78
Tonk,Rajasthan,25,1421326,3335,231,3070,34,96650.168
Rohtak,Haryana,9,1061204,11978,192,11642,144,80651.504
Gadchiroli,Maharashtra,17,1072942,8380,263,8026,85,95491.838
Pratapgarh,Rajasthan,25,867848,1164,88,1057,19,59013.664
Goalpara,Assam,3,1008183,658,38,568,10,62507.346
Alappuzha,Kerala,14,2127789,55054,3806,50996,231,225545.634
Chamba,Himachal Pradesh,10,519080,2767,196,2519,49,51908
Amreli,Gujarat,8,1514190,3715,162,3521,32,105993.3
Ashoknagar,Madhya Pradesh,16,845071,1068,62,990,16,60845.112
Karur,Tamil Nadu,27,1064493,5096,85,4962,49,94739.877
Alwar,Rajasthan,25,3674179,21154,251,20826,77,249844.172
Kheda,Gujarat,8,2299885,2847,114,2717,16,160991.95
Chikkaballapura,Karnataka,13,1255104,12803,204,12482,116,99153.216
Sonitpur,Assam,3,1924110,2548,802,1727,19,119294.82
Dibrugarh,Assam,3,1326335,9486,6975,2409,102,82232.77
Ramanagara,Karnataka,13,1082636,7364,52,7236,76,85528.244
Hazaribagh,Jharkhand,12,1734495,4335,68,4232,35,107538.69
Chirang,Assam,3,482162,280,53,219,8,29894.044
Bhind,Madhya Pradesh,16,1703005,1442,21,1411,10,122616.36
Rajsamand,Rajasthan,25,1156597,3700,354,3306,40,78648.596
Ganganagar,Rajasthan,25,1969168,6496,71,6384,41,133903.424
Jhabua,Madhya Pradesh,16,1025048,2284,99,2159,26,73803.456
Begusarai,Bihar,4,2970541,7596,112,7452,32,199026.247
Dumka,Jharkhand,12,1321442,1369,15,1340,14,81929.404
Morigaon,Assam,3,957423,638,72,557,9,59360.226
Dhamtari,Chhattisgarh,6,799781,7573,534,6934,105,59983.575
Kullu,Himachal Pradesh,10,437903,4320,213,4023,82,43790.3
Nawada,Bihar,4,2219146,4117,159,3935,23,148682.782
Barwani,Madhya Pradesh,16,1385881,2648,118,2508,22,99783.432
Sabarkantha,Gujarat,8,2428589,2719,143,2563,13,170001.23
Nalbari,Assam,3,771639,948,104,828,16,47841.618
Golaghat,Assam,3,1066888,3803,2101,1656,46,66147.056
Valsad,Gujarat,8,1705678,1348,17,1322,9,119397.46
Shahdol,Madhya Pradesh,16,1066063,2893,70,2793,30,76756.536
Dhubri,Assam,3,1949258,1723,497,1215,11,120853.996
Neemuch,Madhya Pradesh,16,826067,2857,95,2725,37,59476.824
Pratapgarh,Uttar Pradesh,30,867848,5225,181,4978,66,60749.36
Palakkad,Kerala,14,2809934,46292,5245,40921,119,297853.004
Banka,Bihar,4,2034763,3403,101,3283,19,136329.121
Udupi,Karnataka,13,1177361,22990,74,22728,188,93011.519
Katni,Madhya Pradesh,16,1292042,2080,57,2006,17,93027.024
Chandigarh,Chandigarh,5,1055450,19309,361,18634,314,46439.8
Thoubal,Manipur,18,422168,2255,2192,23,40,42216.8
Sitamarhi,Bihar,4,3423574,4300,135,4151,14,229379.458
Aurangabad,Bihar,4,3701282,5083,75,4993,15,247985.894
Hamirpur,Himachal Pradesh,10,454768,2717,219,2454,43,45476.8
Sambalpur,Odisha,22,1041099,9193,180,8937,76,86411.217
Dungarpur,Rajasthan,25,1388552,4500,486,3980,34,94421.536
Kendujhar,Odisha,22,1801733,7803,80,7686,37,149543.839
Pauri Garhwal,Uttarakhand,31,687271,4910,209,4620,57,60479.848
Palamu,Jharkhand,12,1939869,3439,45,3374,20,120271.878
Ariyalur,Tamil Nadu,27,754894,4625,10,4567,48,67185.566
Kamrup,Assam,3,1517542,4590,2482,2074,34,94087.604
Cachar,Assam,3,1736617,6216,4678,1498,40,107670.254
Seoni,Madhya Pradesh,16,1379131,1465,41,1414,10,99297.432
Una,Himachal Pradesh,10,521173,2642,167,2441,34,52117.3
Bhilwara,Rajasthan,25,2408523,9326,350,8938,38,163779.564
Kathua,Jammu and Kashmir,11,616435,3132,75,3009,48,43150.45
Harda,Madhya Pradesh,16,570465,1997,53,1912,32,41073.48
Mandla,Madhya Pradesh,16,1054905,1172,35,1127,10,75953.16
Rajouri,Jammu and Kashmir,11,642415,3805,219,3532,54,44969.05
Jhalawar,Rajasthan,25,1411129,3313,129,3162,22,95956.772
Pulwama,Jammu and Kashmir,11,560440,5471,181,5202,88,39230.8
Datia,Madhya Pradesh,16,786754,1798,51,1727,20,56646.288
Chitradurga,Karnataka,13,1659456,14171,176,13927,68,131097.024
Giridih,Jharkhand,12,2445474,3406,6,3386,14,151619.388
Balangir,Odisha,22,1648997,8375,105,8232,38,136866.751
Umaria,Madhya Pradesh,16,644758,1199,33,1150,16,46422.576
Solan,Himachal Pradesh,10,580320,6205,850,5289,66,58032
Kottayam,Kerala,14,1974551,47849,6575,41133,139,209302.406
Panchkula,Haryana,9,561293,9826,261,9425,140,42658.268
Kalahandi,Odisha,22,1576869,6275,41,6205,29,130880.127
Baksa,Assam,3,950075,687,233,447,7,58904.65
Sonipat,Haryana,9,1450001,14393,275,14040,78,110200.076
Korba,Chhattisgarh,6,1206640,15647,71,15473,103,90498
Imphal East,Manipur,18,456113,5366,5146,150,70,45611.3
Kulgam,Jammu and Kashmir,11,424483,2650,70,2527,53,29713.81
Deoghar,Jharkhand,12,1492073,3584,19,3542,23,92508.526
Araria,Bihar,4,2811569,7118,28,7068,22,188375.123
Nayagarh,Odisha,22,962789,6423,2,6375,46,79911.487
Imphal West,Manipur,18,517992,8426,8283,52,91,51799.2
Alirajpur,Madhya Pradesh,16,728999,1221,53,1155,13,52487.928
Sidhi,Madhya Pradesh,16,1127033,1919,66,1840,13,81146.376
East Khasi Hills,Meghalaya,19,825922,8216,204,7903,109,41296.1
Udhampur,Jammu and Kashmir,11,554985,4054,116,3881,57,38848.95
Udalguri,Assam,3,831668,758,84,666,8,51563.416
Kodagu,Karnataka,13,554519,5656,114,5472,70,43807.001
Jaisalmer,Rajasthan,25,669919,2104,170,1909,25,45554.492
Balaghat,Madhya Pradesh,16,1701698,2949,115,2821,13,122522.256
Balrampur,Chhattisgarh,6,2148665,3297,193,3093,11,161149.875
Sirohi,Rajasthan,25,1036346,3541,133,3381,27,70471.528
Kaimur,Bihar,4,1626384,2030,33,1987,10,108967.728
Yadgir,Karnataka,13,1174271,10567,39,10467,61,92767.409
Darrang,Assam,3,928500,1967,219,1730,18,57567
Jamnagar,Gujarat,8,2160119,10064,191,9838,35,151208.33
Purnia,Bihar,4,3264619,9224,80,9122,22,218729.473
Doda,Jammu and Kashmir,11,409936,3356,90,3205,61,28695.52
Bharuch,Gujarat,8,1551019,3756,131,3607,18,108571.33
Lakhimpur,Assam,3,1042137,3006,1847,1135,24,64612.494
Chatra,Jharkhand,12,1042886,1397,23,1363,11,64658.932
Sheopur,Madhya Pradesh,16,687861,1378,53,1311,14,49525.992
Aurangabad,Bihar,4,2540073,5083,75,4993,15,170184.891
Hanumangarh,Rajasthan,25,1774692,2920,96,2812,12,120679.056
Buxar,Bihar,4,1706352,3956,49,3890,17,114325.584
Kasaragod,Kerala,14,1307375,23748,1630,22030,84,138581.75
Bargarh,Odisha,22,1481255,10041,92,9909,40,122944.165
