District,State,Population,Sex-Ratio,Confirmed,Active,Recovered,Deceased,Death Rate,age frac,Rank Number,Actual Number
Bankura,West Bengal,"3,596,674",957,11177,416,10673,88,0.007873311,0.071,2010.559041,255363.854
Ghazipur,Uttar Pradesh,"3,620,268",952,5057,91,4886,80,0.015819656,0.07,4008.997607,253418.76
Sangli,Maharashtra,"2,822,143",966,49977,265,47946,1763,0.035276227,0.089,8860.355581,251170.727
Durg,Chhattisgarh,"3,343,872",988,21929,1458,19925,546,0.024898536,0.075,6244.313803,250790.4
Jodhpur,Rajasthan,"3,687,165",916,43239,1423,41534,282,0.00652189,0.068,1635.215349,250727.22
Alwar,Rajasthan,"3,674,179",895,21154,251,20826,77,0.003639974,0.068,909.4262901,249844.172
Kushinagar,Uttar Pradesh,"3,564,544",961,5613,71,5482,60,0.010689471,0.07,2667.21628,249518.08
Birbhum,West Bengal,"3,502,404",956,9417,350,8983,84,0.008920038,0.071,2218.151951,248670.684
Aurangabad,Bihar,"3,701,282",923,5083,75,4993,15,0.002951013,0.067,731.809597,247985.894
Yavatmal,Maharashtra,"2,772,348",952,13481,495,12588,394,0.029226319,0.089,7211.271905,246738.972
Bahraich,Uttar Pradesh,"3,487,731",892,4031,75,3882,74,0.018357728,0.07,4481.877192,244141.17
Saharanpur,Uttar Pradesh,"3,466,382",890,9608,474,9003,131,0.013634471,0.07,3308.35994,242646.74
Tiruchirappalli,Tamil Nadu,"2,722,290",1013,14010,205,13632,173,0.012348323,0.089,2991.798744,242283.81
Meerut,Uttar Pradesh,"3,443,689",886,21335,1016,19896,423,0.019826576,0.07,4779.359318,241058.23
Gonda,Uttar Pradesh,"3,433,919",921,5009,74,4868,67,0.013375923,0.07,3215.228529,240374.33
Rae Bareli,Uttar Pradesh,"3,405,559",943,5099,222,4774,103,0.020200039,0.07,4815.469723,238389.13
Indore,Madhya Pradesh,"3,276,697",928,53011,3925,48235,851,0.016053272,0.072,3787.322991,235922.184
Vaishali,Bihar,"3,495,021",895,5343,86,5210,46,0.008609395,0.067,2016.031094,234166.407
Cuddalore,Tamil Nadu,"2,605,914",987,24571,101,24189,281,0.011436246,0.089,2652.366747,231926.346
Sitamarhi,Bihar,"3,423,574",899,4300,135,4151,14,0.003255814,0.067,746.8168507,229379.458
Amritsar,Punjab,"2,490,656",889,14321,539,13240,542,0.037846519,0.092,8672.164686,229140.352
Barabanki,Uttar Pradesh,"3,260,699",910,7620,82,7439,99,0.012992126,0.07,2965.438858,228248.93
Ballia,Uttar Pradesh,"3,239,774",937,7692,183,7407,102,0.01326053,0.07,3007.278422,226784.18
Aurangabad,Maharashtra,"2,540,073",926,47419,1017,45191,1196,0.025221957,0.089,5701.839466,226066.497
Alappuzha,Kerala,"2,127,789",1100,55054,3806,50996,231,0.00419588,0.106,946.3624148,225545.634
Nagaur,Rajasthan,"3,307,743",950,9271,217,8964,90,0.009707691,0.068,2183.517193,224926.524
Pratapgarh,Uttar Pradesh,"3,209,141",998,5225,181,4978,66,0.012631579,0.07,2837.556264,224639.87
Siwan,Bihar,"3,330,464",988,4623,80,4512,31,0.006705602,0.067,1496.295326,223141.088
Tiruppur,Tamil Nadu,"2,479,052",989,16787,416,16157,214,0.01274796,0.089,2812.65416,220635.628
Tiruvannamalai,Tamil Nadu,"2,464,875",994,19072,109,18683,280,0.014681208,0.089,3220.673489,219373.875
Purnia,Bihar,"3,264,619",921,9224,80,9122,22,0.002385082,0.067,521.6877289,218729.473
Latur,Maharashtra,"2,454,196",928,23094,407,22006,677,0.029314974,0.089,6403.077582,218423.444
Pratapgarh,Rajasthan,"3,209,141",998,1164,88,1057,19,0.016323024,0.068,3562.036218,218221.588
Cuttack,Odisha,"2,624,470",940,28610,222,28246,142,0.0049633,0.083,1081.160652,217831.01
Unnao,Uttar Pradesh,"3,108,367",907,4492,182,4228,82,0.018254675,0.07,3971.956056,217585.69
Deoria,Uttar Pradesh,"3,100,946",1017,6680,106,6482,92,0.013772455,0.07,2989.534747,217066.22
Thanjavur,Tamil Nadu,"2,405,890",1035,16970,187,16551,232,0.013671184,0.089,2927.331474,214124.21
Uttar Dinajpur,West Bengal,"3,007,134",939,6333,160,6102,71,0.011211116,0.071,2393.646295,213506.514
